file,filename,section,domain,split,label,rms,zcr,spectral_centroid,spectral_bandwidth,spectral_rolloff,spectral_flatness
/Applications/FAU/Application/Akustische_industriellen_Kontexten/data/dev_data_fan/train/section_00_source_train_normal_0926_strength_1_ambient.wav,section_00_source_train_normal_0926_strength_1_ambient.wav,00,source,train,normal,0.014820185489952564,0.0970010483226837,1535.1450225046212,1715.5551267702538,3346.845047923323,0.03605817258358002
/Applications/FAU/Application/Akustische_industriellen_Kontexten/data/dev_data_fan/train/section_00_source_train_normal_0855_strength_1_ambient.wav,section_00_source_train_normal_0855_strength_1_ambient.wav,00,source,train,normal,0.014823087491095066,0.09743472943290735,1524.6291071700225,1706.9324988772812,3308.4315095846646,0.03524164482951164
/Applications/FAU/Application/Akustische_industriellen_Kontexten/data/dev_data_fan/train/section_01_source_train_normal_0601_strenght_1_big_ambient.wav,section_01_source_train_normal_0601_strenght_1_big_ambient.wav,01,source,train,normal,0.02048049122095108,0.15499419678514376,2204.0775140587702,2204.2941865091716,5164.486821086262,0.07150307297706604
/Applications/FAU/Application/Akustische_industriellen_Kontexten/data/dev_data_fan/train/section_02_source_train_normal_0577_strenght_1_ambient.wav,section_02_source_train_normal_0577_strenght_1_ambient.wav,02,source,train,normal,0.014885279349982738,0.10860591803115016,1659.68800918334,1802.2182596606406,3618.535343450479,0.05055342987179756
/Applications/FAU/Application/Akustische_industriellen_Kontexten/data/dev_data_fan/train/section_02_source_train_normal_0404_strenght_1_ambient.wav,section_02_source_train_normal_0404_strenght_1_ambient.wav,02,source,train,normal,0.014828884974122047,0.09194195537140575,1659.3199887415112,1953.2793540471114,3889.551717252396,0.03650561720132828
/Applications/FAU/Application/Akustische_industriellen_Kontexten/data/dev_data_fan/train/section_02_source_train_normal_0218_strenght_1_ambient.wav,section_02_source_train_normal_0218_strenght_1_ambient.wav,02,source,train,normal,0.014544532634317875,0.15945268819888178,2350.583106841419,2251.4390099149523,5376.996805111821,0.09242621809244156
/Applications/FAU/Application/Akustische_industriellen_Kontexten/data/dev_data_fan/train/section_02_source_train_normal_0791_strenght_1_ambient.wav,section_02_source_train_normal_0791_strenght_1_ambient.wav,02,source,train,normal,0.014868300408124924,0.11389433156948882,1714.2580944697756,1828.7069218643292,3742.6367811501595,0.05561411753296852
/Applications/FAU/Application/Akustische_industriellen_Kontexten/data/dev_data_fan/train/section_01_source_train_normal_0160_strenght_1_big_ambient.wav,section_01_source_train_normal_0160_strenght_1_big_ambient.wav,01,source,train,normal,0.020571647211909294,0.11269936851038338,1720.9333877133618,1817.6373660136528,3758.586261980831,0.051347311586141586
/Applications/FAU/Application/Akustische_industriellen_Kontexten/data/dev_data_fan/train/section_00_source_train_normal_0748_strength_1_ambient.wav,section_00_source_train_normal_0748_strength_1_ambient.wav,00,source,train,normal,0.014913025312125683,0.1661841054313099,2156.0344505757043,2026.1924567552219,4507.113618210863,0.12156294286251068
/Applications/FAU/Application/Akustische_industriellen_Kontexten/data/dev_data_fan/train/section_00_source_train_normal_0027_strength_1_ambient.wav,section_00_source_train_normal_0027_strength_1_ambient.wav,00,source,train,normal,0.014738908968865871,0.1007840580071885,1540.0871969583795,1711.8619366183768,3343.3007188498405,0.03735831379890442
